Interval,Skupaj,Posebej
10000,0.0029000124000000014,0.0029623857000000095
20000,0.0029060648999999963,0.002981816499999999
30000,0.002808964499999998,0.0028640866999999643
40000,0.002810966299999894,0.0028652322999999703
50000,0.0028016606999999817,0.0028811382999999503
60000,0.0028774748999999245,0.002942089400000196
70000,0.0028359783999998456,0.0029198999999998847
80000,0.002928368699999922,0.0029953298999999163
90000,0.0028664636000000103,0.002962544699999974
100000,0.002861194499999904,0.002937962400000053
110000,0.0029126246999999807,0.0029976788000001518
120000,0.0028067662999998076,0.002877372299999479
130000,0.002778517600000413,0.0028654868000000987
140000,0.0027810065999999693,0.002862676800000145
150000,0.002776213700000383,0.0028382190000001517
160000,0.0027881721999998914,0.002861551900000279
170000,0.0027597631999999664,0.002843616599999706
180000,0.0027675588000002876,0.002838640200000086
190000,0.002783004999999747,0.0028601863999999466
200000,0.002778125899999978,0.00286353999999983
210000,0.0027625438000001734,0.002852054099999947
220000,0.0027718096000005515,0.0028550744000002057
230000,0.0027792809000002877,0.0028667240000003176
240000,0.0028339957999999684,0.002912446300000255
250000,0.002817891600000081,0.00289635599999977
260000,0.0027732911000001932,0.00288136660000049
270000,0.002802648600000168,0.00284863899999487
280000,0.002781131400000049,0.0028748846999996545
290000,0.0027766312000003664,0.002869331699999634
300000,0.0028393279999999665,0.002895879999999522
310000,0.002789234500000589,0.0028556713000006937
320000,0.002767051100000316,0.002850383100000158
330000,0.0027859757999997613,0.0028696410000001718
340000,0.00276461710000018,0.0028668537000007747
350000,0.002762455999999986,0.0028334884999991912
360000,0.0027907979000003705,0.0028694403999998314
370000,0.0027724169999991943,0.0028582411000003275
380000,0.0027917674999994803,0.0028553235000000543
390000,0.0028630652000004204,0.002920991899999933
400000,0.0027667815000006046,0.002838146900000311
410000,0.0028104197999998634,0.0028669565999998098
420000,0.0027736062000002734,0.0028254549000000678
430000,0.002824052899999799,0.0028677792999995404
440000,0.002861399399999755,0.0029200922999996237
450000,0.0028194738000001393,0.0028939049000005638
460000,0.0027923767000012276,0.002880713800001331
470000,0.002753956800000367,0.002837735900000041
480000,0.003010624000000121,0.003081613699998286
490000,0.0028775494999996455,0.002933983800000078
